[2024-12-08T10:39:18+0000] [PACMAN] Running 'pacman -Syu --root /d/a/msys2-installer/msys2-installer/_build/newmsys/msys64'
[2024-12-08T10:39:18+0000] [PACMAN] synchronizing package lists
[2024-12-08T10:39:57+0000] [ALPM] installed info (7.1.1-1)
[2024-12-08T10:39:57+0000] [ALPM] installed libtasn1 (4.19.0-1)
[2024-12-08T10:39:57+0000] [ALPM] installed libp11-kit (0.25.5-2)
[2024-12-08T10:39:57+0000] [ALPM] installed p11-kit (0.25.5-2)
[2024-12-08T10:39:57+0000] [ALPM] installed ca-certificates (20240203-2)
[2024-12-08T10:39:58+0000] [ALPM] installed brotli (1.1.0-1)
[2024-12-08T10:39:58+0000] [ALPM] installed libdb (6.2.32-5)
[2024-12-08T10:39:58+0000] [ALPM] installed libedit (20240517_3.1-1)
[2024-12-08T10:39:58+0000] [ALPM] installed libsqlite (3.46.1-1)
[2024-12-08T10:39:58+0000] [ALPM] installed heimdal-libs (7.8.0-5)
[2024-12-08T10:39:58+0000] [ALPM] installed libunistring (1.2-1)
[2024-12-08T10:39:58+0000] [ALPM] installed libidn2 (2.3.7-1)
[2024-12-08T10:39:58+0000] [ALPM] installed libnghttp2 (1.64.0-1)
[2024-12-08T10:39:58+0000] [ALPM] installed libpsl (0.21.5-2)
[2024-12-08T10:39:58+0000] [ALPM] installed libssh2 (1.11.0-1)
[2024-12-08T10:39:58+0000] [ALPM] installed libcurl (8.11.0-2)
[2024-12-08T10:39:59+0000] [ALPM] installed curl (8.11.0-2)
[2024-12-08T10:39:59+0000] [ALPM] installed libpcre (8.45-4)
[2024-12-08T10:39:59+0000] [ALPM] installed grep (1~3.0-6)
[2024-12-08T10:39:59+0000] [ALPM] installed dash (0.5.12-1)
[2024-12-08T10:39:59+0000] [ALPM] installed file (5.46-1)
[2024-12-08T10:39:59+0000] [ALPM] installed mpfr (4.2.1-1)
[2024-12-08T10:39:59+0000] [ALPM] installed libreadline (8.2.013-1)
[2024-12-08T10:39:59+0000] [ALPM] installed gawk (5.3.1-1)
[2024-12-08T10:39:59+0000] [ALPM] installed libargp (20110921-4)
[2024-12-08T10:39:59+0000] [ALPM] installed getent (2.18.90-4)
[2024-12-08T10:39:59+0000] [ALPM] installed inetutils (2.5-2)
[2024-12-08T10:39:59+0000] [ALPM] installed mintty (1~3.7.6-1)
[2024-12-08T10:39:59+0000] [ALPM] installed msys2-keyring (1~20241007-1)
[2024-12-08T10:40:00+0000] [ALPM] installed msys2-launcher (1.5-2)
[2024-12-08T10:40:00+0000] [ALPM] installed nano (8.2-1)
[2024-12-08T10:40:00+0000] [ALPM] installed libgettextpo (0.22.4-1)
[2024-12-08T10:40:00+0000] [ALPM] installed libasprintf (0.22.4-1)
[2024-12-08T10:40:00+0000] [ALPM] installed gettext (0.22.4-1)
[2024-12-08T10:40:00+0000] [ALPM] installed libgpg-error (1.51-1)
[2024-12-08T10:40:00+0000] [ALPM] installed libassuan (2.5.7-1)
[2024-12-08T10:40:00+0000] [ALPM] installed libgcrypt (1.11.0-1)
[2024-12-08T10:40:00+0000] [ALPM] installed libhogweed (3.10-1)
[2024-12-08T10:40:00+0000] [ALPM] installed libnettle (3.10-1)
[2024-12-08T10:40:00+0000] [ALPM] installed libgnutls (3.8.8-1)
[2024-12-08T10:40:00+0000] [ALPM] installed libksba (1.6.7-1)
[2024-12-08T10:40:00+0000] [ALPM] installed libnpth (1.8-1)
[2024-12-08T10:40:00+0000] [ALPM] installed nettle (3.10-1)
[2024-12-08T10:40:00+0000] [ALPM] installed pinentry (1.3.1-1)
[2024-12-08T10:40:00+0000] [ALPM] installed gnupg (2.4.7-1)
[2024-12-08T10:40:00+0000] [ALPM] installed pacman-mirrors (20240523-1)
[2024-12-08T10:40:00+0000] [ALPM] installed which (2.21-4)
[2024-12-08T10:40:01+0000] [ALPM] installed xz (5.6.3-1)
[2024-12-08T10:40:01+0000] [ALPM] installed zstd (1.5.6-1)
[2024-12-08T10:40:01+0000] [ALPM] installed pacman (6.1.0-9)
[2024-12-08T10:40:01+0000] [ALPM] installed db (6.2.32-5)
[2024-12-08T10:40:01+0000] [ALPM] installed libgdbm (1.24-1)
[2024-12-08T10:40:01+0000] [ALPM] installed gdbm (1.24-1)
[2024-12-08T10:40:04+0000] [ALPM] installed perl (5.38.2-2)
[2024-12-08T10:40:04+0000] [ALPM] installed pacman-contrib (1.10.6-1)
[2024-12-08T10:40:04+0000] [ALPM] installed rebase (4.5.0-4)
[2024-12-08T10:40:04+0000] [ALPM] installed tar (1.35-2)
[2024-12-08T10:40:04+0000] [ALPM] installed time (1.9-3)
[2024-12-08T10:40:07+0000] [ALPM] installed tzcode (2024a-1)
[2024-12-08T10:40:07+0000] [ALPM] installed libutil-linux (2.35.2-4)
[2024-12-08T10:40:07+0000] [ALPM] installed util-linux (2.35.2-4)
[2024-12-08T10:40:07+0000] [ALPM] installed wget (1.25.0-1)
[2024-12-08T10:40:07+0000] [ALPM] installed base (2022.06-1)
[2024-12-08T10:40:07+0000] [ALPM] transaction completed
[2024-12-08T10:40:07+0000] [ALPM] running 'texinfo-install.hook'...
[2025-01-15T21:21:58+0300] [PACMAN] Running 'pacman -S --needed base-devel mingw-w64-ucrt-x86_64-toolchain'
[2025-01-15T21:22:20+0300] [ALPM] transaction started
[2025-01-15T21:22:20+0300] [ALPM] installed binutils (2.43.1-1)
[2025-01-15T21:22:20+0300] [ALPM] installed m4 (1.4.19-2)
[2025-01-15T21:22:20+0300] [ALPM] installed bison (3.8.2-5)
[2025-01-15T21:22:20+0300] [ALPM] installed diffstat (1.66-1)
[2025-01-15T21:22:20+0300] [ALPM] installed diffutils (3.10-1)
[2025-01-15T21:22:20+0300] [ALPM] installed dos2unix (7.5.2-1)
[2025-01-15T21:22:20+0300] [ALPM] installed flex (2.6.4-3)
[2025-01-15T21:22:21+0300] [ALPM] installed texinfo (7.1.1-1)
[2025-01-15T21:22:21+0300] [ALPM] installed texinfo-tex (7.1.1-1)
[2025-01-15T21:22:21+0300] [ALPM] installed make (4.4.1-2)
[2025-01-15T21:22:21+0300] [ALPM] installed patch (2.7.6-2)
[2025-01-15T21:22:21+0300] [ALPM] installed base-devel (2024.11-1)
[2025-01-15T21:22:21+0300] [ALPM] installed mingw-w64-ucrt-x86_64-libwinpthread-git (12.0.0.r423.g8bcd5fc1a-1)
[2025-01-15T21:22:21+0300] [ALPM] installed mingw-w64-ucrt-x86_64-gcc-libs (14.2.0-2)
[2025-01-15T21:22:21+0300] [ALPM] installed mingw-w64-ucrt-x86_64-libiconv (1.17-4)
[2025-01-15T21:22:21+0300] [ALPM] installed mingw-w64-ucrt-x86_64-gettext-runtime (0.22.5-2)
[2025-01-15T21:22:21+0300] [ALPM] installed mingw-w64-ucrt-x86_64-zlib (1.3.1-1)
[2025-01-15T21:22:21+0300] [ALPM] installed mingw-w64-ucrt-x86_64-zstd (1.5.6-2)
[2025-01-15T21:22:22+0300] [ALPM] installed mingw-w64-ucrt-x86_64-binutils (2.43.1-1)
[2025-01-15T21:22:23+0300] [ALPM] installed mingw-w64-ucrt-x86_64-headers-git (12.0.0.r423.g8bcd5fc1a-1)
[2025-01-15T21:22:24+0300] [ALPM] installed mingw-w64-ucrt-x86_64-crt-git (12.0.0.r423.g8bcd5fc1a-1)
[2025-01-15T21:22:24+0300] [ALPM] installed mingw-w64-ucrt-x86_64-gmp (6.3.0-2)
[2025-01-15T21:22:24+0300] [ALPM] installed mingw-w64-ucrt-x86_64-isl (0.27-1)
[2025-01-15T21:22:24+0300] [ALPM] installed mingw-w64-ucrt-x86_64-mpfr (4.2.1-2)
[2025-01-15T21:22:24+0300] [ALPM] installed mingw-w64-ucrt-x86_64-mpc (1.3.1-2)
[2025-01-15T21:22:24+0300] [ALPM] installed mingw-w64-ucrt-x86_64-windows-default-manifest (6.4-4)
[2025-01-15T21:22:24+0300] [ALPM] installed mingw-w64-ucrt-x86_64-winpthreads-git (12.0.0.r423.g8bcd5fc1a-1)
[2025-01-15T21:22:26+0300] [ALPM] installed mingw-w64-ucrt-x86_64-gcc (14.2.0-2)
[2025-01-15T21:22:26+0300] [ALPM] installed mingw-w64-ucrt-x86_64-expat (2.6.4-1)
[2025-01-15T21:22:27+0300] [ALPM] installed mingw-w64-ucrt-x86_64-libtre (0.9.0-1)
[2025-01-15T21:22:27+0300] [ALPM] installed mingw-w64-ucrt-x86_64-libsystre (1.0.1-6)
[2025-01-15T21:22:32+0300] [ALPM] installed mingw-w64-ucrt-x86_64-ncurses (6.5.20240831-1)
[2025-01-15T21:22:32+0300] [ALPM] installed mingw-w64-ucrt-x86_64-bzip2 (1.0.8-3)
[2025-01-15T21:22:32+0300] [ALPM] installed mingw-w64-ucrt-x86_64-libffi (3.4.6-1)
[2025-01-15T21:22:32+0300] [ALPM] installed mingw-w64-ucrt-x86_64-mpdecimal (4.0.0-1)
[2025-01-15T21:22:38+0300] [ALPM] installed mingw-w64-ucrt-x86_64-openssl (3.4.0-1)
[2025-01-15T21:22:38+0300] [ALPM] installed mingw-w64-ucrt-x86_64-termcap (1.3.1-7)
[2025-01-15T21:22:38+0300] [ALPM] installed mingw-w64-ucrt-x86_64-readline (8.2.013-1)
[2025-01-15T21:22:40+0300] [ALPM] installed mingw-w64-ucrt-x86_64-tcl (8.6.13-1)
[2025-01-15T21:22:40+0300] [ALPM] installed mingw-w64-ucrt-x86_64-sqlite3 (3.46.1-1)
[2025-01-15T21:22:41+0300] [ALPM] installed mingw-w64-ucrt-x86_64-tk (8.6.13-1)
[2025-01-15T21:22:41+0300] [ALPM] installed mingw-w64-ucrt-x86_64-xz (5.6.3-3)
[2025-01-15T21:22:43+0300] [ALPM] installed mingw-w64-ucrt-x86_64-tzdata (2024b-1)
[2025-01-15T21:22:51+0300] [ALPM] installed mingw-w64-ucrt-x86_64-python (3.12.7-3)
[2025-01-15T21:22:52+0300] [ALPM] installed mingw-w64-ucrt-x86_64-xxhash (0.8.2-2)
[2025-01-15T21:22:52+0300] [ALPM] installed mingw-w64-ucrt-x86_64-gdb (15.2-2)
[2025-01-15T21:22:52+0300] [ALPM] installed mingw-w64-ucrt-x86_64-gdb-multiarch (15.2-2)
[2025-01-15T21:22:52+0300] [ALPM] installed mingw-w64-ucrt-x86_64-libmangle-git (12.0.0.r423.g8bcd5fc1a-1)
[2025-01-15T21:22:52+0300] [ALPM] installed mingw-w64-ucrt-x86_64-make (4.4.1-3)
[2025-01-15T21:22:52+0300] [ALPM] installed mingw-w64-ucrt-x86_64-pkgconf (1~2.3.0-1)
[2025-01-15T21:22:52+0300] [ALPM] installed mingw-w64-ucrt-x86_64-tools-git (12.0.0.r423.g8bcd5fc1a-1)
[2025-01-15T21:22:52+0300] [ALPM] installed mingw-w64-ucrt-x86_64-winstorecompat-git (12.0.0.r423.g8bcd5fc1a-1)
[2025-01-15T21:22:52+0300] [ALPM] transaction completed
[2025-01-15T21:22:52+0300] [ALPM] running 'texinfo-install.hook'...
[2025-01-15T21:58:09+0300] [PACMAN] Running 'pacman -S mingw-w64-ucrt-x86_64-cmake'
[2025-01-15T21:58:25+0300] [ALPM] transaction started
[2025-01-15T21:58:25+0300] [ALPM] installed mingw-w64-ucrt-x86_64-cppdap (1.65-1)
[2025-01-15T21:58:25+0300] [ALPM] installed mingw-w64-ucrt-x86_64-c-ares (1.34.3-1)
[2025-01-15T21:58:25+0300] [ALPM] installed mingw-w64-ucrt-x86_64-brotli (1.1.0-4)
[2025-01-15T21:58:25+0300] [ALPM] installed mingw-w64-ucrt-x86_64-libunistring (1.2-1)
[2025-01-15T21:58:25+0300] [ALPM] installed mingw-w64-ucrt-x86_64-libidn2 (2.3.7-2)
[2025-01-15T21:58:26+0300] [ALPM] installed mingw-w64-ucrt-x86_64-libpsl (0.21.5-3)
[2025-01-15T21:58:26+0300] [ALPM] installed mingw-w64-ucrt-x86_64-libtasn1 (4.19.0-1)
[2025-01-15T21:58:26+0300] [ALPM] installed mingw-w64-ucrt-x86_64-p11-kit (0.25.5-1)
[2025-01-15T21:58:26+0300] [ALPM] installed mingw-w64-ucrt-x86_64-ca-certificates (20240203-1)
[2025-01-15T21:58:26+0300] [ALPM] installed mingw-w64-ucrt-x86_64-libssh2 (1.11.1-1)
[2025-01-15T21:58:26+0300] [ALPM] installed mingw-w64-ucrt-x86_64-nghttp2 (1.63.0-1)
[2025-01-15T21:58:26+0300] [ALPM] installed mingw-w64-ucrt-x86_64-nghttp3 (1.6.0-1)
[2025-01-15T21:58:27+0300] [ALPM] installed mingw-w64-ucrt-x86_64-curl (8.11.0-2)
[2025-01-15T21:58:27+0300] [ALPM] installed mingw-w64-ucrt-x86_64-jsoncpp (1.9.6-3)
[2025-01-15T21:58:27+0300] [ALPM] installed mingw-w64-ucrt-x86_64-libb2 (0.98.1-2)
[2025-01-15T21:58:27+0300] [ALPM] installed mingw-w64-ucrt-x86_64-lz4 (1.10.0-1)
[2025-01-15T21:58:27+0300] [ALPM] installed mingw-w64-ucrt-x86_64-libarchive (3.7.7-1)
[2025-01-15T21:58:27+0300] [ALPM] installed mingw-w64-ucrt-x86_64-libuv (1.49.2-1)
[2025-01-15T21:58:27+0300] [ALPM] installed mingw-w64-ucrt-x86_64-ninja (1.12.1-1)
[2025-01-15T21:58:27+0300] [ALPM] installed mingw-w64-ucrt-x86_64-rhash (1.4.4-3)
[2025-01-15T21:58:31+0300] [ALPM] installed mingw-w64-ucrt-x86_64-cmake (3.31.2-3)
[2025-01-15T21:58:31+0300] [ALPM] transaction completed
[2025-01-15T22:09:48+0300] [PACMAN] Running 'pacman -S mingw-w64-ucrt-x86_64-autotools'
[2025-01-15T22:09:55+0300] [ALPM] transaction started
[2025-01-15T22:09:55+0300] [ALPM] installed autoconf2.72 (2.72-2)
[2025-01-15T22:09:55+0300] [ALPM] installed autoconf2.71 (2.71-4)
[2025-01-15T22:09:55+0300] [ALPM] installed autoconf2.69 (2.69-4)
[2025-01-15T22:09:55+0300] [ALPM] installed autoconf2.13 (2.13-6)
[2025-01-15T22:09:55+0300] [ALPM] installed autoconf-wrapper (20240607-1)
[2025-01-15T22:09:55+0300] [ALPM] installed automake1.11 (1.11.6-6)
[2025-01-15T22:09:55+0300] [ALPM] installed automake1.12 (1.12.6-6)
[2025-01-15T22:09:55+0300] [ALPM] installed automake1.13 (1.13.4-7)
[2025-01-15T22:09:56+0300] [ALPM] installed automake1.14 (1.14.1-6)
[2025-01-15T22:09:56+0300] [ALPM] installed automake1.15 (1.15.1-4)
[2025-01-15T22:09:56+0300] [ALPM] installed automake1.16 (1.16.5-1)
[2025-01-15T22:09:56+0300] [ALPM] installed automake1.17 (1.17-1)
[2025-01-15T22:09:56+0300] [ALPM] installed automake-wrapper (20240607-1)
[2025-01-15T22:09:56+0300] [ALPM] installed mingw-w64-ucrt-x86_64-libltdl (2.5.4-1)
[2025-01-15T22:09:56+0300] [ALPM] installed mingw-w64-ucrt-x86_64-libtool (2.5.4-1)
[2025-01-15T22:09:58+0300] [ALPM] installed mingw-w64-ucrt-x86_64-gettext-tools (0.22.5-2)
[2025-01-15T22:09:58+0300] [ALPM] installed mingw-w64-ucrt-x86_64-autotools (2023.09.28-2)
[2025-01-15T22:09:58+0300] [ALPM] transaction completed
[2025-01-15T22:09:58+0300] [ALPM] running 'texinfo-install.hook'...
[2025-01-15T22:13:43+0300] [PACMAN] Running 'pacman -S git'
[2025-01-15T22:13:52+0300] [ALPM] transaction started
[2025-01-15T22:13:53+0300] [ALPM] installed heimdal (7.8.0-5)
[2025-01-15T22:13:53+0300] [ALPM] installed libcbor (0.11.0-1)
[2025-01-15T22:13:53+0300] [ALPM] installed libfido2 (1.15.0-1)
[2025-01-15T22:13:53+0300] [ALPM] installed openssh (9.9p1-1)
[2025-01-15T22:13:53+0300] [ALPM] installed perl-Error (0.17029-2)
[2025-01-15T22:13:53+0300] [ALPM] installed perl-Authen-SASL (2.1700-1)
[2025-01-15T22:13:53+0300] [ALPM] installed perl-Encode-Locale (1.05-2)
[2025-01-15T22:13:53+0300] [ALPM] installed perl-HTTP-Date (6.06-1)
[2025-01-15T22:13:53+0300] [ALPM] installed perl-File-Listing (6.16-1)
[2025-01-15T22:13:53+0300] [ALPM] installed perl-HTML-Tagset (3.24-1)
[2025-01-15T22:13:53+0300] [ALPM] installed perl-Clone (0.47-1)
[2025-01-15T22:13:53+0300] [ALPM] installed perl-IO-HTML (1.004-2)
[2025-01-15T22:13:53+0300] [ALPM] installed perl-LWP-MediaTypes (6.04-2)
[2025-01-15T22:13:54+0300] [ALPM] installed perl-URI (5.29-1)
[2025-01-15T22:13:54+0300] [ALPM] installed perl-HTTP-Message (6.46-1)
[2025-01-15T22:13:54+0300] [ALPM] installed perl-HTML-Parser (3.83-1)
[2025-01-15T22:13:54+0300] [ALPM] installed perl-HTTP-Cookies (6.11-1)
[2025-01-15T22:13:54+0300] [ALPM] installed perl-HTTP-Daemon (6.16-1)
[2025-01-15T22:13:54+0300] [ALPM] installed perl-http-cookiejar (0.014-1)
[2025-01-15T22:13:54+0300] [ALPM] installed perl-HTTP-Negotiate (6.01-3)
[2025-01-15T22:13:54+0300] [ALPM] installed perl-Net-HTTP (6.23-1)
[2025-01-15T22:13:54+0300] [ALPM] installed perl-WWW-RobotRules (6.02-3)
[2025-01-15T22:13:54+0300] [ALPM] installed perl-Try-Tiny (0.32-1)
[2025-01-15T22:13:54+0300] [ALPM] installed perl-libwww (6.77-1)
[2025-01-15T22:13:54+0300] [ALPM] installed perl-TimeDate (2.33-2)
[2025-01-15T22:13:54+0300] [ALPM] installed perl-MailTools (2.21-2)
[2025-01-15T22:13:54+0300] [ALPM] installed perl-IO-Stringy (2.113-2)
[2025-01-15T22:13:54+0300] [ALPM] installed perl-Convert-BinHex (1.125-2)
[2025-01-15T22:13:54+0300] [ALPM-SCRIPTLET] module test... pass.
[2025-01-15T22:13:54+0300] [ALPM] installed perl-MIME-tools (5.515-1)
[2025-01-15T22:13:54+0300] [ALPM] installed perl-Net-SSLeay (1.94-1)
[2025-01-15T22:13:54+0300] [ALPM] installed perl-IO-Socket-SSL (2.089-1)
[2025-01-15T22:13:54+0300] [ALPM] installed perl-Net-SMTP-SSL (1.04-2)
[2025-01-15T22:13:54+0300] [ALPM] installed perl-TermReadKey (2.38-6)
[2025-01-15T22:13:55+0300] [ALPM] installed git (2.47.1-1)
[2025-01-15T22:13:55+0300] [ALPM] transaction completed
